tournament_id,team_id,year,goals_for,goals_against,points
WC-2015,T-50,2015,3,6,1
WC-2015,T-53,2015,8,2,7
WC-2015,T-71,2015,4,5,4
WC-2015,T-73,2015,2,4,1
WC-2015,T-74,2015,4,4,3
WC-2015,T-75,2015,11,4,3
WC-2015,T-76,2015,3,10,3
WC-2015,T-83,2015,4,1,7
WC-2018,T-03,2018,3,5,4
WC-2018,T-04,2018,2,5,1
WC-2018,T-06,2018,9,2,9
WC-2018,T-09,2018,5,1,7
WC-2018,T-16,2018,5,2,6
WC-2018,T-17,2018,2,5,1
WC-2018,T-18,2018,7,1,9
WC-2018,T-22,2018,2,1,5
WC-2018,T-26,2018,2,6,0
WC-2018,T-28,2018,8,3,6
WC-2018,T-30,2018,3,1,7
WC-2018,T-31,2018,2,4,3
WC-2018,T-37,2018,2,5,1
WC-2018,T-38,2018,2,2,4
WC-2018,T-44,2018,4,4,4
WC-2018,T-46,2018,3,4,6
WC-2018,T-47,2018,2,4,1
WC-2018,T-50,2018,3,4,3
WC-2018,T-54,2018,2,11,0
WC-2018,T-56,2018,2,2,3
WC-2018,T-57,2018,2,5,3
WC-2018,T-58,2018,5,4,5
WC-2018,T-62,2018,8,4,6
WC-2018,T-63,2018,2,7,3
WC-2018,T-65,2018,4,4,4
WC-2018,T-66,2018,2,4,3
WC-2018,T-71,2018,3,3,3
WC-2018,T-73,2018,6,5,5
WC-2018,T-74,2018,5,2,6
WC-2018,T-75,2018,5,4,5
WC-2018,T-79,2018,5,8,3
WC-2018,T-84,2018,5,0,9
WC-2019,T-03,2019,3,4,2
WC-2019,T-04,2019,8,5,6
WC-2019,T-09,2019,6,3,6
WC-2019,T-11,2019,3,5,3
WC-2019,T-12,2019,4,2,6
WC-2019,T-13,2019,2,5,3
WC-2019,T-14,2019,1,1,4
WC-2019,T-28,2019,5,1,9
WC-2019,T-30,2019,7,1,9
WC-2019,T-31,2019,6,0,9
WC-2019,T-41,2019,7,2,6
WC-2019,T-43,2019,1,12,0
WC-2019,T-44,2019,2,3,4
WC-2019,T-48,2019,6,2,9
WC-2019,T-49,2019,1,5,0
WC-2019,T-50,2019,2,4,3
WC-2019,T-53,2019,6,3,6
WC-2019,T-64,2019,5,7,1
WC-2019,T-70,2019,1,8,0
WC-2019,T-71,2019,1,8,0
WC-2019,T-73,2019,3,2,4
WC-2019,T-74,2019,7,3,6
WC-2019,T-76,2019,1,20,0
WC-2019,T-83,2019,18,0,9
WC-2022,T-03,2022,5,2,6
WC-2022,T-04,2022,3,4,6
WC-2022,T-06,2022,1,2,4
WC-2022,T-09,2022,3,1,6
WC-2022,T-11,2022,4,4,4
WC-2022,T-12,2022,2,7,0
WC-2022,T-17,2022,3,11,3
WC-2022,T-18,2022,4,1,5
WC-2022,T-22,2022,1,3,1
WC-2022,T-25,2022,4,3,4
WC-2022,T-28,2022,9,2,7
WC-2022,T-30,2022,6,3,6
WC-2022,T-31,2022,6,5,4
WC-2022,T-32,2022,5,7,3
